nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_10_21,02_10_21,03_10_21,04_10_21,05_10_21,06_10_21,07_10_21,08_10_21,09_10_21,10_10_21,11_10_21,12_10_21,13_10_21,14_10_21,15_10_21,16_10_21,17_10_21,18_10_21,19_10_21,20_10_21,21_10_21,22_10_21,23_10_21,24_10_21,25_10_21,26_10_21,27_10_21,28_10_21,29_10_21,30_10_21,31_10_21,total
Fazenda Vereda Nova,GR-FR-20,São Desidério,São Desidério (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.4,2.4,2.6,0.0,0.0,0.0,0.0,6.0,2.8,39.2,6.0,0.0,0.0,0.0,0.0,0.0,1.2,61.81
Bebedouro,45760000,Jaborandi,Jaborandi (Bebedouro) - 45760000,-13.7372,-45.4639,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.4,3.6,2.6,10.6,0.0,0.0,0.4,0.0,1.4,0.2,15.0,0.8,0.2,15.0,0.2,0.0,0.0,0.0,0.0,0.0,54.2
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.2,6.4,0.4,4.4,0.0,4.8,0.2,0.0,5.4,28.8,7.8,19.6,2.6,59.0,0.0,0.8,0.2,0.0,0.0,14.2,158.2
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344,-38.458111,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,1.4,3.2,0.4,2.8,8.8,9.4,9.4,1.0,0.8,56.4
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,24.0,0.2,9.2,1.8,1.6,2.4,5.0,11.4,1.2,1.2,59.81
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.947736,-38.370136,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,24.8,0.0,10.8,0.0,0.0,4.2,3.8,15.0,0.4,2.2,61.81
Tancredo Neves,292740823A,Salvador,Salvador (Tancredo Neves) - 292740823A,-12.945347,-38.453472,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,54.2,7.8,4.8,0.2,0.0,1.8,1.6,11.2,7.0,5.2,95.0
Cruz das Almas,83222,Cruz das Almas,Cruz das Almas - 83222,-12.666667,-39.083333,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,5.5,0.0,7.6,4.4,7.5,19.8,2.4,1.3,49.4
Cachoeira,290490201A,Cachoeira,Cachoeira - 290490201A,-12.607725,-38.960655,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5.6,1.4,0.4,11.4,7.0,24.0,8.6,0.0,58.81
Itaparica,RN-CL-08,Itaparica,Itaparica - RN-CL-08,-12.8865,-38.68086,Recôncavo,RPGA do Recôncavo Sul,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.4,47.4,0.0,0.0,0.4,2.0,4.2,16.6,1.4,3.8,77.8
São Félix,292900801A,São Félix,São Félix - 292900801A,-12.606591,-38.969939,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.4,0.2,0.4,9.4,5.8,17.8,5.6,0.0,45.81
Centro,293070903A,Simões Filho,Simões Filho (Centro) - 293070903A,-12.788344,-38.396864,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.6,5.4,12.2,0.2,1.6,9.2,5.2,10.2,1.8,5.2,60.61
Ondina,83229,Salvador,Salvador (Ondina) - 83229,-13.005278,-38.505833,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.4,98.1,12.2,7.0,6.4,0.5,4.1,2.9,16.2,1.1,0.0,152.1
Feira de Santana,PG-PR-13,Feira de Santana,Feira de Santana - PG-PR-13,-12.268161,-38.96642,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.8,0.0,2.4,0.8,0.0,0.6,0.0,0.0,7.0
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.795508,-38.489389,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10.24,0.78,0.8,0.0,0.59,6.1,2.77,10.04,2.57,9.66,43.95
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.000791,-38.511056,Recôncavo,RPGA do Recôncavo Norte,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,70.85,13.4,5.12,10.43,0.59,4.53,2.97,17.12,2.36,0.0,127.98
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.961347,-38.460778,Recôncavo,RPGA do Recôncavo Norte,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.19,92.07,7.87,3.16,0.59,0.59,1.18,6.3,14.6,7.09,1.18,136.62
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.97718,-38.453834,Recôncavo,RPGA do Recôncavo Norte,0.0,0.2,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,3.53,84.72,13.39,18.72,0.0,0.0,0.98,7.3,14.8,12.01,2.17,159.39
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.8944,-38.441889,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.28,12.43,0.2,0.0,3.94,6.51,1.79,5.52,2.18,1.78,113.64
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939122,-38.486334,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,65.16,5.52,2.57,5.92,0.4,0.99,2.57,15.59,10.03,1.58,116.84
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,67.83,0.99,14.57,1.19,0.0,5.71,8.85,14.54,8.66,1.97,125.71
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.939678,-38.474667,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,49.0,3.94,3.15,0.4,0.0,1.39,1.59,14.91,6.49,1.19,87.77
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,0.39,0.0,1.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.2,0.0,0.0,0.0,0.0,67.93,2.97,0.8,0.0,2.56,11.08,1.98,11.64,5.92,4.13,111.61
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.16,68.43,0.98,1.19,0.2,4.14,12.62,0.8,8.48,4.15,3.54,107.3
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.69,4.12,4.32,0.0,0.98,3.36,12.02,9.45,0.99,0.0,54.34
Monte Serrat,292740804A,Salvador,Salvador (Monte Serrat) - 292740804A,-12.930789,-38.517167,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,26.38,9.08,1.2,0.0,0.0,0.0,2.37,13.98,11.6,0.8,68.42
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670229,-38.544112,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,7.08,0.0,7.47,1.38,0.4,0.8,9.67,18.93,0.0,8.48,55.4
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.337,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.19,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,8.85,0.8,3.97,0.2,0.0,4.13,2.17,13.41,5.76,8.29,52.95
Itinga 02,291920704A,Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,-12.89,-38.353,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,8.85,0.6,0.2,1.58,5.5,12.59,2.36,0.4,42.32
Vila Praiana,291920702A,Lauro de Freitas,Lauro de Freitas (Vila Praiana) - 291920702A,-12.901,-38.308,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,6.68,0.79,1.57,0.0,0.0,1.39,4.91,12.59,0.98,0.39,30.12
Portão,291920701A,Lauro de Freitas,Lauro de Freitas (Portão) - 291920701A,-12.87,-38.305,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,5.93,0.2,0.2,3.74,2.17,16.15,2.96,0.99,36.49
Rua 02 de Julho,291920705A,Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,-12.839,-38.35,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,3.55,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,9.45,0.2,7.9,0.4,0.0,3.55,3.56,12.22,3.57,10.26,57.05
Muritiba,PG-PR-12,Muritiba,Muritiba - PG-PR-12,-12.617895,-39.005591,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.6,0.0,0.2,2.6,0.0,10.6,2.2,0.0,26.6
Dois de Julho,291120401A,Gandú,Gandú (Dois de Julho) - 291120401A,-13.741357,-39.48303,Recôncavo,RPGA do Recôncavo Sul,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.62,0.0,1.57,19.14,1.98,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.2,0.0,2.41,4.35,3.36,0.39,3.37,11.08,0.4,0.2,50.68
São Francisco do Conde,RN-CL-07,São Francisco do Conde,São Francisco do Conde - RN-CL-07,-12.61136,-38.68222,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,8.0,0.6,0.4,11.8,0.6,1.4,10.6,27.6,0.0,1.6,65.8
CIA,293070902A,Simões Filho,Simões Filho (CIA) - 293070902A,-12.825461,-38.409051,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.8,9.4,0.0,0.0,6.2,7.8,11.0,1.0,6.8,54.6
PC Fazenda Jurema,51346050,Rafael Jambeiro,Rafael Jambeiro (PC Fazenda Jurema) - 51346050,-12.4881,-39.6981,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.8,4.0,4.2,0.6,0.0,10.4
PC Argoim,51351000,Rafael Jambeiro,Rafael Jambeiro (PC Argoim) - 51351000,-12.5867,-39.5217,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,0.0,1.8,1.8,1.0,9.0,0.4,0.0,16.4
Abaeté,RN-PR-01,Salvador,Salvador (Abaeté) - RN-PR-01,-12.945407,-38.361404,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,1.0,6.8,0.7,0.0,5.0,12.8,3.9,0.2,0.4,52.6
Lagoa,291760701A,Jaguaquara,Jaguaquara (Lagoa) - 291760701A,-13.523228,-39.968685,Sudoeste,RPGA do Recôncavo Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,36.6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.2,39.6,3.6,0.0,2.6,2.4,1.0,0.2,91.8
Vitória da Conquista,83344,Vitória da Conquista,Vitória da Conquista - 83344,-14.883333,-40.8,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,5.7,0.0,10.2,0.8,17.2,0.0,0.0,7.6,2.4,2.4,78.4
Jaguaquara,RS-CL-01,Jaguaquara,Jaguaquara - RS-CL-01,-13.573055,-39.940833,Sudoeste,RPGA do Recôncavo Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.75,58.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.25,0.25,8.75,6.25,0.0,6.25,5.25,1.25,0.0,93.75
Vitória da Conquista,PA-CL-01,Vitória da Conquista,Vitória da Conquista - PA-CL-01,-14.886111,-40.800833,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,7.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.5,0.0,9.0,0.5,16.5,0.25,0.0,6.5,1.75,2.0,78.0
Fz Nanci,53880000,Camacã,Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,Sul,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.0,4.6,36.4,4.2,0.2,0.0,0.0,0.0,0.0,0.0,17.8,0.2,0.6,2.8,1.6,12.6,0.0,1.8,7.8,3.6,5.4,108.2
PCH Cach. da Lixa M,55354000,Jucuruçu,Jucuruçu (PCH Cach. da Lixa M) - 55354000,-17.06703,-40.068619,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.6,6.6,13.8,28.2,11.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,15.2,8.6,6.4,3.6,0.0,13.6,1.2,2.8,0.8,0.0,2.4,122.2
PCH Colino II M,55355600,Vereda,Vereda (PCH Colino II M) - 55355600,-17.07126,-40.15474,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,2.5,5.25,11.25,69.5,17.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,28.75,5.75,8.25,1.75,0.5,16.0,1.0,2.75,1.5,0.0,2.25,179.5
Itajuípe,,Itajuípe,Itajuípe,-14.6744,-39.3769,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1.8,0.0,18.8,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.2,0.8,0.2,0.0,0.0,0.0,0.0,7.2,72.2
Caravelas,83498,Caravelas,Caravelas - 83498,-17.739167,-39.258333,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.2,0.0,5.2,7.4,57.4,2.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,23.4,4.4,0.0,0.0,0.0,2.2,0.0,0.6,0.2,1.2,13.2,123.21
Barra do Rocha,290310201A,Barra do Rocha,Barra do Rocha - 290310201A,-14.208644,-39.598562,Sul,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.2,0.0,34.0,6.0,0.6,0.2,0.0,0.0,0.0,0.0,44.4,1.0,0.2,0.0,1.0,5.0,1.2,4.4,33.6,0.0,6.0,139.21
Guaratinga,83446,Guaratinga,Guaratinga - 83446,-16.58,-39.78,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.0,14.0,38.7,1.0,3.5,0.0,0.0,1.0,0.0,0.0,10.2,2.0,3.4,0.6,5.9,1.4,0.5,2.7,3.1,1.9,6.9,105.01
Centro,290580001A,Camamu,Camamu (Centro) - 290580001A,-13.943506,-39.10251,Sul,RPGA do Recôncavo Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.4,18.0,0.4,0.0,0.0,1.6,0.0,0.0,0.0,43.8,0.8,5.0,9.8,2.2,2.6,0.0,3.6,16.6,1.0,5.6,113.6
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.582916,-39.780555,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,8.0,15.0,43.2,1.4,6.0,0.0,0.0,0.4,0.2,0.0,13.6,1.4,3.4,0.6,6.0,1.6,0.6,2.8,3.4,2.0,9.6,121.0
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.18683,-39.48713,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.6,22.8,3.2,21.2,3.6,0.0,0.2,0.0,0.0,0.0,0.0,23.4,0.2,0.0,17.4,0.2,9.0,2.2,6.4,6.6,2.8,5.8,128.8
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.46122,-39.65225,Sul,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.2,12.4,4.6,19.8,3.4,2.0,0.0,0.0,0.0,0.0,0.0,37.4,1.6,0.6,3.2,0.0,0.6,0.0,0.0,6.2,2.6,8.0,119.6
Mascote,53950000,Mascote,Mascote - 53950000,-15.565561,-39.302756,Sul,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.2,10.2,0.6,29.4,7.6,0.4,0.4,0.0,0.0,0.0,0.0,43.4,0.0,0.0,5.2,0.2,6.0,0.2,1.0,16.4,7.2,3.4,135.0
PCH Colino I J,55357000,Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,-17.0822,-40.0772,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,7.5,18.25,43.0,9.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,18.75,7.25,6.0,3.75,0.0,15.0,0.5,1.5,3.25,0.0,2.5,146.25
Eunápolis,FB-CL-01,Eunápolis,Eunápolis - FB-CL-01,-16.290555,-39.579722,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.5,36.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.5,1.25,6.5,21.0,1.0,5.0,0.75,0.5,3.25,111.75
Centro,290340901A,Belmonte,Belmonte (Centro) - 290340901A,-15.859179,-38.878025,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,4.36,3.75,2.38,34.83,5.12,0.0,2.96,0.2,0.2,0.2,0.0,11.21,0.0,0.6,0.8,0.0,0.0,0.0,1.57,12.96,4.94,2.56,93.58
Conquista,291360601A,Ilhéus,Ilhéus (Conquista) - 291360601A,-14.797213,-39.04608,Sul,RPGA do Leste,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,60.82,4.36,7.29,11.01,11.2,0.0,0.39,0.2,0.0,0.0,0.0,43.18,0.39,0.0,7.08,6.89,0.0,0.82,5.93,18.13,6.72,11.83,197.05
Malhado,291360602A,Ilhéus,Ilhéus (Malhado) - 291360602A,-14.789158,-39.048858,Sul,RPGA do Leste,0.0,0.2,0.0,0.0,0.0,2.17,0.4,0.0,0.2,54.17,4.53,5.13,8.32,10.81,0.2,0.59,1.97,0.0,0.2,0.0,41.37,0.6,0.0,6.69,1.77,0.82,0.98,5.14,17.54,6.71,8.67,179.18
São Caetano,291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.80638,-39.27803,Sul,RPGA do Leste,0.0,0.59,0.2,0.0,0.0,0.0,0.4,0.0,0.0,7.57,0.4,0.0,42.37,3.19,0.99,0.2,0.0,0.0,0.2,0.0,41.54,0.0,0.0,5.13,1.38,0.59,4.16,6.73,4.33,3.77,6.14,129.88
Centro,292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,3.18,10.52,58.46,8.89,0.0,0.0,0.0,0.0,0.0,0.0,2.97,25.44,3.34,2.8,0.0,0.2,72.88,0.0,3.94,2.96,0.0,5.53,203.09
Areião,292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,18.76,8.67,18.5,8.25,2.16,0.39,0.0,0.0,0.0,0.0,10.24,0.59,1.22,1.22,1.78,0.99,0.4,5.91,0.4,2.16,16.34,100.58
Centro,291480201A,Itabuna,Itabuna (Centro) - 291480201A,-14.79,-39.274,Sul,RPGA do Leste,0.2,0.99,0.2,0.2,0.0,0.2,0.79,0.0,0.0,9.64,0.2,0.0,31.57,3.77,0.59,0.0,0.0,0.0,0.0,0.0,44.83,0.0,0.0,4.93,1.19,0.59,3.94,3.55,3.18,2.16,8.49,121.22
Estádio Municipal,291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089181,-39.615546,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,3.78,1.0,17.32,0.2,0.2,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.56,3.95,4.74,6.5,0.0,0.0,1.58,6.14,0.4,61.17
Jusante,54945000,Itapebi,Itapebi (Jusante) - 54945000,-15.949206,-39.5225,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.2,2.4,14.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,25.0,0.6,0.0,7.4,4.2,3.0,0.0,3.6,2.8,0.4,2.8,73.0
Ferradas,53170000,Itabuna,Itabuna (Ferradas) - 53170000,-14.8439,-39.3311,Sul,RPGA do Leste,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,4.0,3.4,0.0,7.0,5.2,2.0,0.0,0.0,0.2,0.0,0.0,45.8,0.0,0.2,0.4,2.8,1.0,3.2,3.2,4.2,0.8,15.0,99.2
Morpará,46360000,Morpará,Morpará - 46360000,-11.5583,-43.2825,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.6,0.0,67.2,0.6,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,90.0
Barra,83179,Barra,Barra - 83179,-11.083333,-43.166667,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.91
